key,bib_title,bib_year,bib_author,bib_doi,verified_title,verified_year,verified_author,verified_doi,match_score,match_status,provider,is_mismatch
rafi2025reliable,"Reliable and Cost-Efficient {IoT} Connectivity for Smart Agriculture: A Comparative Study of {LPWAN}, {5G}, and Hybrid Connectivity Models",2026,"Rafi, Mohamed Shabeer Mohamed and Behjati, Mehran and Rafsanjani, Ahmad Sahban",10.1007/978-3-032-08240-4_33,"Reliable and Cost-Efficient IoT Connectivity for Smart Agriculture: A Comparative Study of LPWAN, 5G, and Hybrid Connectivity Models",2026,"Rafi, Mohamed Shabeer Mohamed, Behjati, Mehran, Rafsanjani, Ahmad Sahban",10.1007/978-3-032-08240-4_33,1.0,high,crossref,no
loracom2024,LoRa Communication Standards for Agriculture 4.0: Technical Report,2024,{LoRa Alliance},,Report Communication Standards,2017,"Ranschaert, Erik R., Bosmans, Jan M. L.",10.1007/174_2017_113,0.547,low,crossref,yes
nawaz2024aiot,{AIoT} in Agriculture,2025,"Sangeetha, S. and Sanjana, N. and Kirthika, K. M. and Immanual, R.",10.1201/9781003482338-8,AIoT in Agriculture,2025,"Sangeetha, S., Sanjana, N., Kirthika, K.M., Immanual, R.",10.1201/9781003482338-8,1.0,high,crossref,no
zhao2023encrypted,Secure Adaptive Control of Linear Networked Systems Using Paillier Encryption,2024,"Shi, Yongxia and Nekouei, Ehsan",10.1109/TCSI.2024.3401223,Secure Adaptive Control of Linear Networked Systems Using Paillier Encryption,2024,"Shi, Yongxia, Nekouei, Ehsan",10.1109/TCSI.2024.3401223,1.0,high,crossref,no
eladl2024drones,Smart Agriculture Based on {IoT} Using Drones: A Survey,2024,"Eladl, Shymaa G. and ZainEldin, Hanaa Y. and Haikal, Amira Y. and Saafan, Mahmoud M.",10.58491/2735-4202.3211,Smart Agriculture Based On IOT Using Drones: A Survey,2024,"Eladl, Shymaa G., ZainEldin, Hanaa Y., Haikal, Amira Y., Saafan, Mahmoud M.",10.58491/2735-4202.3211,1.0,high,crossref,no
higgins2019cochrane,Assessing Risk of Bias in a Randomized Trial,2019,"Higgins, Julian PT and Savovi{\'c}, Jelena and Page, Matthew J and Elbers, Roy G and Sterne, Jonathan AC",,Assessing risk of bias in a randomized trial,2019,"Higgins, Julian PT, Savović, Jelena, Page, Matthew J, Elbers, Roy G, Sterne, Jonathan AC",10.1002/9781119536604.ch8,1.0,high,crossref,no
astrom2006advanced,Feedback Systems: An Introduction for Scientists and Engineers,2008,"{\AA}str{\""o}m, Karl Johan and Murray, Richard M",,Feedback systems: an introduction for scientists and engineers,2010,"Macgregor, Peter",10.1017/s002555720000749x,1.0,high,crossref,yes
gu2003stability,Stability of Time-Delay Systems,2003,"Gu, Keqin and Chen, Jie and Kharitonov, Vladimir L",,Stability of Time-Delay Systems,2019,"Kwon, Wook Hyun, Park, PooGyeon",10.1007/978-3-319-92704-6_2,1.0,high,crossref,yes
luenberger1971introduction,An Introduction to Observers,1971,"Luenberger, David G",10.1109/TAC.1971.1099826,An introduction to observers,1971,"Luenberger, D.",10.1109/TAC.1971.1099826,1.0,high,crossref,no
zames1981feedback,"Feedback and Optimal Sensitivity: Model Reference Transformations, Multiplicative Seminorms, and Approximate Inverses",1981,"Zames, George",,"Feedback and Optimal Sensitivity: Model Reference Transformations, Multiplicative Seminorms, and Approximate Inverses",2009,,10.1109/9780470544334.ch25,1.0,high,crossref,yes
caceres2023mpc,Reinforcement Learning versus Model Predictive Control on Greenhouse Climate Control,2023,"Morcego, Bernardo and Yin, Wenjie and van Henten, Eldert J. and Stanghellini, Cecilia and van Mourik, Simon",10.1016/j.compag.2023.108372,Reinforcement Learning versus Model Predictive Control on greenhouse climate control,2023,"Morcego, Bernardo, Yin, Wenjie, Boersma, Sjoerd, van Henten, Eldert, Puig, Vicenç, Sun, Congcong",10.1016/j.compag.2023.108372,1.0,high,crossref,no
huong2024enhancing,Implementation of Artificial Intelligence in Agriculture for Optimisation of Irrigation and Application of Pesticides and Herbicides,2020,"Talaviya, Tanha and Shah, Dhara and Patel, Nivedita and Yagnik, Hitesh and Shah, Manan",10.1016/j.aiia.2020.04.002,Implementation of artificial intelligence in agriculture for optimisation of irrigation and application of pesticides and herbicides,2020,"Talaviya, Tanha, Shah, Dhara, Patel, Nivedita, Yagnik, Hiteshri, Shah, Manan",10.1016/j.aiia.2020.04.002,1.0,high,crossref,no
walsh2002stability,Stability analysis of networked control systems,2002,"Walsh, Gregory C and Beldiman, Octavian and Bushnell, Linda G",,Stability analysis of networked control systems,1999,,10.1109/acc.1999.786599,1.0,high,crossref,yes
nesic2004input,Input-to-state stability of networked control systems,2004,"Nesic, Dragan and Teel, Andrew R",,Input-to-state stability of networked control systems,2004,"Nešić, D., Teel, A.R.",10.1016/j.automatica.2004.07.003,1.0,high,crossref,yes
camacho2013model,Model predictive control,2013,"Camacho, Eduardo F and Alba, Carlos Bordons",,Model Predictive Control,2016,,10.1201/b11674-23,1.0,high,crossref,yes
lewis2020rag,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,"Lewis, Patrick and Perez, Ethan and Piktus, Aleksandra and Petroni, Fabio and Karpukhin, Vladimir and Goyal, Naman and K{\""u}ttler, Heinrich and Lewis, Mike and Yih, Wen-tau and Rockt{\""a}schel, Tim and others",,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,"Patrick Lewis, Ethan Perez, Aleksandra Piktus, Fabio Petroni, Vladimir Karpukhin, Naman Goyal, Heinrich Küttler, Mike Lewis, Wen-tau Yih, Tim Rocktäschel, Sebastian Riedel, Douwe Kiela",,1.0,high,openalex,yes
lorawan_spec,LoRaWAN Specification v1.1,2017,,,Multi-hop LoRaWAN uplink extension: specification and prototype implementation,2020,"Dias, José, Grilo, António",10.1007/s12652-019-01207-3,0.447,low,crossref,yes
campbell2020swim,Synthesis without meta-analysis (SWiM) in systematic reviews: reporting guideline,2020,"Campbell, Mhairi and McKenzie, Joanne E. and Sowden, Amanda and Katikireddi, Srinivasa Vittal and Brennan, Sue E. and Ellis, Simon and Hartmann-Boyce, Jamie and Ryan, Rebecca and Shepperd, Sasha and Thomas, James and Welch, Vivian and Thomson, Hilary",10.1136/bmj.l6890,Synthesis without meta-analysis (SWiM) in systematic reviews: reporting guideline,2020,"Campbell, Mhairi, McKenzie, Joanne E, Sowden, Amanda, Katikireddi, Srinivasa Vittal, Brennan, Sue E, Ellis, Simon, Hartmann-Boyce, Jamie, Ryan, Rebecca, Shepperd, Sasha, Thomas, James, Welch, Vivian, Thomson, Hilary",10.1136/bmj.l6890,1.0,high,crossref,no
jiang2010distributed,A Distributed {CSMA} Algorithm for Throughput-Utility Maximization in Wireless Networks,2010,"Jiang, Libin and Walrand, Jean",10.1109/TNET.2009.2034176,A distributed CSMA algorithm for throughput and utility maximization in wireless networks,2008,"Jiang, Libin, Walrand, Jean",10.1109/allerton.2008.4797741,0.977,high,crossref,yes
neely2010stochastic,Stochastic network optimization with application to communication and queueing systems,2010,"Neely, Michael J.",10.2200/S00271ED1V01Y201006CNT007,Stochastic Network Optimization with Application to Communication and Queueing Systems,2010,"Neely, Michael J.",10.2200/S00271ED1V01Y201006CNT007,1.0,high,crossref,no
Stricker_2023,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,"Stricker, Naomi and Lian, Yingzhao and Jiang, Yuning and Jones, Colin N. and Thiele, Lothar",10.1145/3597311,Self-triggered Control with Energy Harvesting Sensor Nodes,2023,"Stricker, Naomi, Lian, Yingzhao, Jiang, Yuning, Jones, Colin N., Thiele, Lothar",10.1145/3597311,1.0,high,crossref,no
Aranda_Escolastico_2015,Stability of output event-based control systems through quadratic trigger functions,2015,"Aranda-Escolastico, Ernesto and Guinaldo, Maria and Dormido, Sebastian",10.1109/etfa.2015.7301402,Stability of output event-based control systems through quadratic trigger functions,2015,"Aranda-Escolastico, Ernesto, Guinaldo, Maria, Dormido, Sebastian",10.1109/etfa.2015.7301402,1.0,high,crossref,no
Wu_2013,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,"Wu, Junfeng and Jia, Qing-Shan and Johansson, Karl Henrik and Shi, Ling",10.1109/tac.2012.2215253,Event-Based Sensor Data Scheduling: Trade-Off Between Communication Rate and Estimation Quality,2013,"Wu, Junfeng, Jia, Qing-Shan, Johansson, Karl Henrik, Shi, Ling",10.1109/tac.2012.2215253,1.0,high,crossref,no
Tan_2025,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,"Tan, Wanlin and Liu, Yuan and Ling, Qiang",10.1109/aiea66061.2025.11160534,Event-Triggered Control for Scalar Networked Systems with Random Delays,2025,"Tan, Wanlin, Liu, Yuan, Ling, Qiang",10.1109/aiea66061.2025.11160534,1.0,high,crossref,no
Di_Ferdinando_2025,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,"Di Ferdinando, M. and Borri, A. and Di Gennaro, S. and Pepe, P.",10.1109/cdc57313.2025.11312052,Semi–Global Exponential Stabilization of Nonlinear Time–Delay Systems via Sampled–Data Event–Triggered Controllers,2025,"Di Ferdinando, M., Borri, A., Di Gennaro, S., Pepe, P.",10.1109/cdc57313.2025.11312052,1.0,high,crossref,no
Lozoya_2021,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,"Lozoya, Camilo and Favela-Contreras, Antonio and Aguilar-Gonzalez, Alberto and Félix-Herrán, L.C. and Orona, Luis",10.3390/s21165541,Energy-Efficient Wireless Communication Strategy for Precision Agriculture Irrigation Control,2021,"Lozoya, Camilo, Favela-Contreras, Antonio, Aguilar-Gonzalez, Alberto, Félix-Herrán, L.C., Orona, Luis",10.3390/s21165541,1.0,high,crossref,no
Perdana_2025,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,"Perdana, Doan and Lorenz, Pascal and Hartati, Sri and Fadlilah, Umi and Cahyo Handoyo, Gani",10.1109/access.2025.3643617,"Hybrid LoRaWAN–MQTT Architecture for Portable Smart Greenhouses: Cross-Layer Validation of Latency, Energy, and ADMR Trade-Offs",2025,"Perdana, Doan, Lorenz, Pascal, Hartati, Sri, Fadlilah, Umi, Cahyo Handoyo, Gani",10.1109/access.2025.3643617,1.0,high,crossref,no
Boersma_2022,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,"Boersma, Sjoerd and Sun, Congcong and van Mourik, Simon",10.1016/j.ifacol.2022.11.135,Robust sample-based model predictive control of a greenhouse system with parametric uncertainty,2022,"Boersma, Sjoerd, Sun, Congcong, van Mourik, Simon",10.1016/j.ifacol.2022.11.135,1.0,high,crossref,no
Ghiat_2025,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,"Ghiat, Ikhlas and Govindan, Rajesh and Al-Ansari, Tareq",10.1016/j.atech.2025.101071,Data-driven model predictive control for irrigation management in agricultural greenhouses under CO2 enrichment,2025,"Ghiat, Ikhlas, Govindan, Rajesh, Al-Ansari, Tareq",10.1016/j.atech.2025.101071,1.0,high,crossref,no
Agyeman_2024,Learning-based multi-agent MPC for irrigation scheduling,2024,"Agyeman, Bernard T. and Naouri, Mohamed and Appels, Willemijn M. and Liu, Jinfeng and Shah, Sirish L.",10.1016/j.conengprac.2024.105908,Learning-based multi-agent MPC for irrigation scheduling,2024,"Agyeman, Bernard T., Naouri, Mohamed, Appels, Willemijn M., Liu, Jinfeng, Shah, Sirish L.",10.1016/j.conengprac.2024.105908,1.0,high,crossref,no
